;estado;sigla;regiao;cidade;populacao;pib;pib_percapita
1617;PARA;PA;NORTE;Salvaterra;18124;69514.453125;3835.48999023
1618;PARA;PA;NORTE;Barcarena;92567;3287297.25;35512.62890625
1619;PARA;PA;NORTE;Belterra;12671;68352.0703125;5394.37011719
1620;PARA;PA;NORTE;Sao Francisco do Para;11743;52004.66796875;4428.56982422
1621;PARA;PA;NORTE;Augusto Correa;39317;111036.953125;2824.14990234
1622;PARA;PA;NORTE;Trairao;17134;69021.6796875;4028.35009766
1623;PARA;PA;NORTE;Paragominas;97350;878875.1875;9027.99023438
1624;PARA;PA;NORTE;Vigia;46205;164092.5625;3551.39990234
1625;PARA;PA;NORTE;Itupiranga;41541;188305.25;4533.0
1626;PARA;PA;NORTE;Castanhal;161497;1216351.375;7531.72998047
1627;PARA;PA;NORTE;Moju;68600;234566.484375;3419.34008789
1628;PARA;PA;NORTE;Cumaru do Norte;11890;81871.8359375;6885.77001953
1629;PARA;PA;NORTE;Bonito;12013;36021.890625;2998.58007812
1630;PARA;PA;NORTE;Picarra;13140;76790.75;5844.04980469
1631;PARA;PA;NORTE;Tailandia;72720;351910.1875;4839.25
1632;PARA;PA;NORTE;Magalhaes Barata;7895;23328.38085938;2954.83007812
1633;PARA;PA;NORTE;Bagre;20386;45750.63671875;2244.2199707
1634;PARA;PA;NORTE;Sao Joao da Ponta;5038;17295.59179688;3433.0300293
1635;PARA;PA;NORTE;Capanema;64429;407624.25;6326.72021484
1636;PARA;PA;NORTE;Conceicao do Araguaia;47237;230119.125;4871.58984375
1637;PARA;PA;NORTE;Peixe-Boi;7916;23817.72460938;3008.81005859
1638;PARA;PA;NORTE;Obidos;48429;205298.015625;4239.14990234
1639;PARA;PA;NORTE;Dom Eliseu;39088;229661.15625;5875.49023438
1640;PARA;PA;NORTE;Sao Geraldo do Araguaia;25027;130322.4453125;5207.27001953
1641;PARA;PA;NORTE;Novo Progresso;21504;150373.875;6992.83007812
1642;PARA;PA;NORTE;Redencao;67064;573767.6875;8555.51953125
1643;PARA;PA;NORTE;Oriximina;58683;852071.4375;14519.90039062
1644;PARA;PA;NORTE;Baiao;28299;105948.2578125;3743.88989258
1645;PARA;PA;NORTE;Senador Jose Porfirio;14434;50105.02734375;3471.32006836
1646;PARA;PA;NORTE;Tucuma;27691;244780.0625;8839.70019531
1647;PARA;PA;NORTE;Terra Alta;10580;27078.78710938;2559.42993164
1648;PARA;PA;NORTE;Irituia;30552;81347.4296875;2662.59008789
1649;PARA;PA;NORTE;Sao Caetano de Odivelas;16862;58551.58984375;3472.39990234
1650;PARA;PA;NORTE;Limoeiro do Ajuru;24967;78205.4921875;3132.35009766
1651;PARA;PA;NORTE;Marituba;101158;518739.1875;5128.00976562
1652;PARA;PA;NORTE;Santa Maria das Barreiras;17778;92045.8671875;5177.52001953
1653;PARA;PA;NORTE;Acara;48501;240422.15625;4957.06005859
1654;PARA;PA;NORTE;Eldorado dos Carajas;29251;161438.78125;5519.08984375
1655;PARA;PA;NORTE;Jacareacanga;41487;80748.671875;1946.35998535
1656;PARA;PA;NORTE;Quatipuru;13459;47786.7421875;3550.54003906
1657;PARA;PA;NORTE;Marapanim;28011;95740.6484375;3417.9699707
1658;PARA;PA;NORTE;Almeirim;31192;345153.5625;11065.45019531
1659;PARA;PA;NORTE;Muana;30568;72737.625;2379.54003906
1660;PARA;PA;NORTE;Xinguara;40529;419696.09375;10355.45019531
1661;PARA;PA;NORTE;Santarem Novo;6347;21127.81835938;3328.79003906
1662;PARA;PA;NORTE;Sao Sebastiao da Boa Vista;21874;54654.15625;2498.59008789
1663;PARA;PA;NORTE;Curralinho;27543;55652.5234375;2020.56994629
1664;PARA;PA;NORTE;Sao Domingos do Capim;27923;85305.6875;3055.0300293
1665;PARA;PA;NORTE;Uruara;33782;181708.8125;5378.87011719
1666;PARA;PA;NORTE;Ananindeua;505512;3243369.5;6416.00976562
1667;PARA;PA;NORTE;Sao Joao de Pirabas;19900;66196.484375;3326.45996094
1668;PARA;PA;NORTE;Santa Barbara do Para;14740;59371.12109375;4027.88989258
1669;PARA;PA;NORTE;Santa Cruz do Arari;6280;22389.1171875;3565.14990234
1670;PARA;PA;NORTE;Garrafao do Norte;25538;74992.078125;2936.48999023
1671;PARA;PA;NORTE;Itaituba;127848;604472.25;4728.04980469
1672;PARA;PA;NORTE;Sao Joao do Araguaia;11923;42977.30078125;3604.57006836
1673;PARA;PA;NORTE;Tracuateua;27825;69502.9765625;2497.86010742
1674;PARA;PA;NORTE;Jacunda;55900;221262.140625;3958.17993164
1675;PARA;PA;NORTE;Igarape-Miri;57003;156092.75;2738.33007812
1676;PARA;PA;NORTE;Sao Domingos do Araguaia;22063;92794.3046875;4205.87988281
1677;PARA;PA;NORTE;Pacaja;41953;158200.59375;3770.89990234
1678;PARA;PA;NORTE;Cameta;117099;328735.40625;2807.33007812
1679;PARA;PA;NORTE;Maracana;29417;94502.7109375;3212.52001953
1680;PARA;PA;NORTE;Goianesia do Para;29164;127624.2265625;4376.08984375
1681;PARA;PA;NORTE;Santa Isabel do Para;55570;277844.90625;4999.91015625
1682;PARA;PA;NORTE;Pau_D'Arco;6522;36384.5546875;5578.74023438
1683;PARA;PA;NORTE;Brejo Grande do Araguaia;7688;32709.0234375;4254.56005859
1684;PARA;PA;NORTE;Medicilandia;23682;134716.71875;5688.56982422
1685;PARA;PA;NORTE;Alenquer;57067;208143.0625;3647.35009766
1686;PARA;PA;NORTE;Placas;19592;63461.06640625;3239.12988281
